INEGI. Censo de Población y Vivienda 2010: Tabulados del Cuestionario Básico,,,,,,,,,,,,,,,,,
Fecha de elaboración: 24/05/2013,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Población total por entidad federativa, sexo y grupos quinquenales de edad según tamaño de localidad",,,,,,,,,,,,,,,,,Población 2
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Entidad federativa,Sexo,Grupos quinquenales de edad,Población total1,Tamaño de localidad,,,,,,,,,,,,,
,,,,1-249 habitantes,250-499 habitantes,500-999 habitantes,1 000-2 499 habitantes,2 500-4 999 habitantes,5 000-9 999 habitantes,10 000-14 999 habitantes,15 000-29 999 habitantes,30 000-49 999 habitantes,50 000-99 999 habitantes,100 000-249 999 habitantes,250 000-499 999 habitantes,500 000-999 999 habitantes,1 000 000 y más habitantes
,,,,,,,,,,,,,,,,,
02 Baja California,Hombres,Total,"1,591,610","32,826","16,986","28,740","48,276","44,469","54,965","25,140","100,367","34,959","65,588",0,"139,411","346,642","653,241"
02 Baja California,Hombres,00-04 años,"149,167","2,864","1,771","2,863","5,226","4,362","5,732","3,265","11,602","4,564","5,940",0,"11,596","29,978","59,404"
02 Baja California,Hombres,05-09 años,"153,886","2,957","1,812","3,182","5,277","4,388","5,982","3,100","11,116","4,351","6,118",0,"11,997","31,638","61,968"
02 Baja California,Hombres,10-14 años,"155,483","3,058","1,748","3,101","5,094","4,377","5,997","2,603","10,471","3,414","6,579",0,"12,815","32,109","64,117"
02 Baja California,Hombres,15-19 años,"152,077","3,004","1,639","2,716","4,979","4,195","5,663","2,232","10,012","2,555","6,496",0,"13,550","31,476","63,560"
02 Baja California,Hombres,20-24 años,"144,597","2,607","1,375","2,405","4,299","4,259","4,779","2,335","9,623","2,286","5,929",0,"13,327","30,815","60,558"
02 Baja California,Hombres,25-29 años,"133,546","2,194","1,266","2,045","3,682","4,281","4,210","2,651","9,164","3,443","5,219",0,"11,770","28,886","54,735"
02 Baja California,Hombres,30-34 años,"132,857","2,418","1,329","2,215","3,788","4,076","4,396","2,514","8,482","4,496","4,860",0,"11,232","28,666","54,385"
02 Baja California,Hombres,35-39 años,"135,331","2,445","1,315","2,373","3,803","3,739","4,493","2,035","7,999","4,011","5,051",0,"11,359","29,684","57,024"
02 Baja California,Hombres,40-44 años,"110,722","2,247","1,114","1,844","2,845","2,801","3,470","1,425","6,150","2,512","4,567",0,"9,799","23,922","48,026"
02 Baja California,Hombres,45-49 años,"86,928","1,808",899,"1,457","2,323","2,091","2,678","1,031","4,680","1,352","3,730",0,"8,176","19,512","37,191"
02 Baja California,Hombres,50-54 años,"68,093","1,595",700,"1,130","1,778","1,625","2,099",717,"3,442",796,"2,864",0,"6,938","16,107","28,302"
02 Baja California,Hombres,55-59 años,"48,250","1,326",540,852,"1,387","1,165","1,487",428,"2,283",471,"2,063",0,"5,045","11,702","19,501"
02 Baja California,Hombres,60-64 años,"36,151","1,221",448,722,"1,038",852,"1,154",250,"1,584",257,"1,656",0,"3,879","8,515","14,575"
02 Baja California,Hombres,65-69 años,"25,086",963,314,518,851,652,825,175,"1,116",147,"1,174",0,"2,783","5,761","9,807"
02 Baja California,Hombres,70-74 años,"17,956",795,258,382,638,471,681,137,888,79,766,0,"1,934","4,146","6,781"
02 Baja California,Hombres,75-79 años,"11,223",509,169,282,448,326,420,76,459,45,527,0,"1,243","2,619","4,100"
02 Baja California,Hombres,80-84 años,"6,578",299,84,192,247,176,267,37,246,22,283,0,711,"1,605","2,409"
02 Baja California,Hombres,85-89 años,"3,360",145,53,86,121,106,124,35,141,11,144,0,354,806,"1,234"
02 Baja California,Hombres,90-94 años,"1,079",42,11,24,37,32,36,6,49,4,37,0,124,259,418
02 Baja California,Hombres,95-99 años,314,9,2,8,15,7,14,2,19,0,18,0,27,54,139
02 Baja California,Hombres,100 años y más,57,3,0,2,3,3,5,2,2,0,4,0,5,8,20
02 Baja California,Hombres,No especificado,"18,869",317,139,341,397,485,453,84,839,143,"1,563",0,747,"8,374","4,987"
02 Baja California,Mujeres,Total,"1,563,460","28,202","15,486","27,102","45,578","38,858","53,618","25,081","98,177","35,675","64,454",0,"140,354","343,133","647,742"
02 Baja California,Mujeres,00-04 años,"144,067","2,724","1,582","2,770","4,955","4,258","5,700","3,248","11,027","4,414","5,723",0,"11,167","28,856","57,643"
02 Baja California,Mujeres,05-09 años,"149,294","2,957","1,728","3,051","5,052","4,205","5,825","2,882","10,880","4,293","5,934",0,"11,730","30,535","60,222"
02 Baja California,Mujeres,10-14 años,"149,989","2,765","1,740","3,042","4,927","4,211","5,916","2,548","10,303","3,391","6,235",0,"12,376","30,311","62,224"
02 Baja California,Mujeres,15-19 años,"147,118","2,723","1,536","2,540","4,678","3,962","5,420","2,311","9,748","2,523","6,331",0,"12,836","30,075","62,435"
02 Baja California,Mujeres,20-24 años,"141,882","2,347","1,372","2,232","4,146","3,818","4,627","2,560","9,839","2,746","5,977",0,"13,025","29,557","59,636"
02 Baja California,Mujeres,25-29 años,"131,882","2,038","1,211","2,148","3,625","3,311","4,295","2,707","8,970","3,993","5,147",0,"11,581","27,776","55,080"
02 Baja California,Mujeres,30-34 años,"131,166","2,025","1,220","2,196","3,691","3,052","4,456","2,410","8,361","4,858","4,984",0,"11,221","28,007","54,685"
02 Baja California,Mujeres,35-39 años,"128,732","1,990","1,153","2,121","3,418","2,858","4,269","1,994","7,582","3,664","4,985",0,"11,175","28,457","55,066"
02 Baja California,Mujeres,40-44 años,"104,327","1,733",931,"1,614","2,534","2,125","3,206","1,483","5,927","2,159","4,359",0,"10,000","23,144","45,112"
02 Baja California,Mujeres,45-49 años,"84,176","1,458",771,"1,284","2,129","1,763","2,566","1,014","4,408","1,266","3,553",0,"8,702","19,695","35,567"
02 Baja California,Mujeres,50-54 años,"68,597","1,239",594,"1,006","1,607","1,445","1,965",659,"3,471",875,"2,730",0,"7,522","17,053","28,431"
02 Baja California,Mujeres,55-59 años,"49,624",955,442,779,"1,274","1,052","1,441",421,"2,255",564,"2,082",0,"5,472","12,341","20,546"
02 Baja California,Mujeres,60-64 años,"39,078",956,394,656,"1,026",835,"1,134",276,"1,596",348,"1,756",0,"4,300","9,716","16,085"
02 Baja California,Mujeres,65-69 años,"27,474",740,244,471,784,573,889,204,"1,187",189,"1,195",0,"3,051","6,790","11,157"
02 Baja California,Mujeres,70-74 años,"19,786",560,205,361,556,415,641,136,782,109,828,0,"2,201","5,139","7,853"
02 Baja California,Mujeres,75-79 años,"12,832",353,115,235,344,268,378,74,486,74,504,0,"1,505","3,376","5,120"
02 Baja California,Mujeres,80-84 años,"8,166",190,63,135,211,181,236,35,314,35,322,0,928,"2,194","3,322"
02 Baja California,Mujeres,85-89 años,"4,404",105,35,79,143,80,131,26,147,15,185,0,533,"1,191","1,734"
02 Baja California,Mujeres,90-94 años,"1,562",28,16,26,34,24,44,11,46,5,62,0,196,421,649
02 Baja California,Mujeres,95-99 años,599,8,7,7,17,14,18,5,17,4,40,0,72,142,248
02 Baja California,Mujeres,100 años y más,149,2,1,3,3,9,9,1,7,0,4,0,19,36,55
02 Baja California,Mujeres,No especificado,"18,556",306,126,346,424,399,452,76,824,150,"1,518",0,742,"8,321","4,872"
03 Baja California Sur,Total,Total,"637,026","28,215","15,172","18,256","26,665","11,188","33,551","61,583",0,"88,967","138,251","215,178",0,0,0
03 Baja California Sur,Total,00-04 años,"60,758","2,339","1,485","1,606","2,745",949,"3,575","6,356",0,"9,880","14,251","17,572",0,0,0
03 Baja California Sur,Total,05-09 años,"60,334","2,334","1,479","1,666","2,759",977,"3,485","6,228",0,"9,601","13,436","18,369",0,0,0
03 Baja California Sur,Total,10-14 años,"57,380","2,289","1,449","1,713","2,584","1,032","3,363","5,803",0,"8,742","12,218","18,187",0,0,0
03 Baja California Sur,Total,15-19 años,"57,713","2,281","1,352","1,760","2,891","1,061","3,327","5,506",0,"8,335","11,906","19,294",0,0,0
03 Baja California Sur,Total,20-24 años,"58,690","2,161","1,139","1,672","2,492",907,"2,983","5,473",0,"8,726","13,056","20,081",0,0,0
03 Baja California Sur,Total,25-29 años,"57,525","2,032","1,131","1,505","2,283",795,"2,769","5,766",0,"8,441","14,418","18,385",0,0,0
03 Baja California Sur,Total,30-34 años,"56,159","2,158","1,231","1,523","2,081",836,"2,733","5,532",0,"8,053","14,072","17,940",0,0,0
03 Baja California Sur,Total,35-39 años,"52,235","2,092","1,238","1,460","1,948",849,"2,537","5,060",0,"7,093","12,551","17,407",0,0,0
03 Baja California Sur,Total,40-44 años,"42,163","1,888","1,000","1,164","1,628",888,"2,031","4,112",0,"5,289","9,270","14,893",0,0,0
03 Baja California Sur,Total,45-49 años,"34,308","1,637",805,"1,006","1,401",725,"1,755","3,288",0,"4,184","6,559","12,948",0,0,0
03 Baja California Sur,Total,50-54 años,"28,122","1,541",651,811,"1,117",560,"1,434","2,482",0,"3,206","4,657","11,663",0,0,0
03 Baja California Sur,Total,55-59 años,"20,188","1,261",549,600,798,424,"1,074","1,704",0,"2,219","3,180","8,379",0,0,0
03 Baja California Sur,Total,60-64 años,"14,895","1,122",447,487,619,354,734,"1,243",0,"1,561","2,208","6,120",0,0,0
03 Baja California Sur,Total,65-69 años,"10,279",943,331,378,432,285,563,873,0,"1,096","1,338","4,040",0,0,0
03 Baja California Sur,Total,70-74 años,"7,012",707,252,261,327,213,423,626,0,727,727,"2,749",0,0,0
03 Baja California Sur,Total,75-79 años,"4,598",409,181,181,190,130,256,430,0,469,431,"1,921",0,0,0
03 Baja California Sur,Total,80-84 años,"2,805",312,115,126,97,96,151,243,0,308,229,"1,128",0,0,0
03 Baja California Sur,Total,85-89 años,"1,589",161,66,82,62,46,96,148,0,150,141,637,0,0,0
03 Baja California Sur,Total,90-94 años,655,60,26,25,25,15,28,49,0,57,48,322,0,0,0
03 Baja California Sur,Total,95-99 años,223,22,7,10,7,3,16,16,0,21,24,97,0,0,0
03 Baja California Sur,Total,100 años y más,58,10,2,3,6,1,6,4,0,6,5,15,0,0,0
03 Baja California Sur,Total,No especificado,"9,337",456,236,217,173,42,212,641,0,803,"3,526","3,031",0,0,0
03 Baja California Sur,Hombres,Total,"325,433","15,469","7,837","10,041","13,885","5,684","17,263","31,564",0,"45,761","70,991","106,938",0,0,0
03 Baja California Sur,Hombres,00-04 años,"30,840","1,195",724,812,"1,350",498,"1,805","3,232",0,"5,057","7,244","8,923",0,0,0
03 Baja California Sur,Hombres,05-09 años,"30,636","1,184",753,859,"1,382",453,"1,833","3,154",0,"4,890","6,777","9,351",0,0,0
03 Baja California Sur,Hombres,10-14 años,"29,340","1,180",724,913,"1,322",540,"1,708","2,929",0,"4,568","6,247","9,209",0,0,0
03 Baja California Sur,Hombres,15-19 años,"29,730","1,267",707,"1,002","1,487",551,"1,699","2,861",0,"4,159","6,156","9,841",0,0,0
03 Baja California Sur,Hombres,20-24 años,"30,273","1,196",602,"1,028","1,374",467,"1,547","2,837",0,"4,505","6,605","10,112",0,0,0
03 Baja California Sur,Hombres,25-29 años,"29,600","1,132",604,869,"1,253",403,"1,439","2,904",0,"4,347","7,359","9,290",0,0,0
03 Baja California Sur,Hombres,30-34 años,"28,734","1,209",631,842,"1,044",431,"1,384","2,861",0,"4,205","7,182","8,945",0,0,0
03 Baja California Sur,Hombres,35-39 años,"26,810","1,153",647,835,"1,017",411,"1,296","2,606",0,"3,760","6,551","8,534",0,0,0
03 Baja California Sur,Hombres,40-44 años,"21,760","1,115",520,653,870,448,"1,097","2,127",0,"2,755","4,940","7,235",0,0,0
03 Baja California Sur,Hombres,45-49 años,"17,451",913,440,549,720,357,867,"1,741",0,"2,167","3,500","6,197",0,0,0
03 Baja California Sur,Hombres,50-54 años,"14,297",856,334,435,583,307,754,"1,310",0,"1,593","2,475","5,650",0,0,0
03 Baja California Sur,Hombres,55-59 años,"10,384",717,284,319,441,201,549,883,0,"1,137","1,643","4,210",0,0,0
03 Baja California Sur,Hombres,60-64 años,"7,573",655,241,260,345,178,380,626,0,804,"1,118","2,966",0,0,0
03 Baja California Sur,Hombres,65-69 años,"5,225",533,175,208,239,150,294,430,0,561,679,"1,956",0,0,0
03 Baja California Sur,Hombres,70-74 años,"3,480",418,131,137,161,115,229,319,0,346,361,"1,263",0,0,0
03 Baja California Sur,Hombres,75-79 años,"2,283",249,104,100,111,73,128,215,0,243,189,871,0,0,0
03 Baja California Sur,Hombres,80-84 años,"1,284",152,48,65,50,53,80,116,0,153,103,464,0,0,0
03 Baja California Sur,Hombres,85-89 años,677,77,32,31,32,26,50,61,0,66,65,237,0,0,0
03 Baja California Sur,Hombres,90-94 años,265,27,11,13,9,2,14,23,0,22,20,124,0,0,0
03 Baja California Sur,Hombres,95-99 años,82,9,2,5,2,1,6,5,0,14,6,32,0,0,0
03 Baja California Sur,Hombres,100 años y más,27,4,1,2,4,0,3,1,0,3,0,9,0,0,0
03 Baja California Sur,Hombres,No especificado,"4,682",228,122,104,89,19,101,323,0,406,"1,771","1,519",0,0,0
03 Baja California Sur,Mujeres,Total,"311,593","12,746","7,335","8,215","12,780","5,504","16,288","30,019",0,"43,206","67,260","108,240",0,0,0
03 Baja California Sur,Mujeres,00-04 años,"29,918","1,144",761,794,"1,395",451,"1,770","3,124",0,"4,823","7,007","8,649",0,0,0
03 Baja California Sur,Mujeres,05-09 años,"29,698","1,150",726,807,"1,377",524,"1,652","3,074",0,"4,711","6,659","9,018",0,0,0
03 Baja California Sur,Mujeres,10-14 años,"28,040","1,109",725,800,"1,262",492,"1,655","2,874",0,"4,174","5,971","8,978",0,0,0
03 Baja California Sur,Mujeres,15-19 años,"27,983","1,014",645,758,"1,404",510,"1,628","2,645",0,"4,176","5,750","9,453",0,0,0
03 Baja California Sur,Mujeres,20-24 años,"28,417",965,537,644,"1,118",440,"1,436","2,636",0,"4,221","6,451","9,969",0,0,0
03 Baja California Sur,Mujeres,25-29 años,"27,925",900,527,636,"1,030",392,"1,330","2,862",0,"4,094","7,059","9,095",0,0,0
03 Baja California Sur,Mujeres,30-34 años,"27,425",949,600,681,"1,037",405,"1,349","2,671",0,"3,848","6,890","8,995",0,0,0
03 Baja California Sur,Mujeres,35-39 años,"25,425",939,591,625,931,438,"1,241","2,454",0,"3,333","6,000","8,873",0,0,0
03 Baja California Sur,Mujeres,40-44 años,"20,403",773,480,511,758,440,934,"1,985",0,"2,534","4,330","7,658",0,0,0
03 Baja California Sur,Mujeres,45-49 años,"16,857",724,365,457,681,368,888,"1,547",0,"2,017","3,059","6,751",0,0,0
03 Baja California Sur,Mujeres,50-54 años,"13,825",685,317,376,534,253,680,"1,172",0,"1,613","2,182","6,013",0,0,0
03 Baja California Sur,Mujeres,55-59 años,"9,804",544,265,281,357,223,525,821,0,"1,082","1,537","4,169",0,0,0
03 Baja California Sur,Mujeres,60-64 años,"7,322",467,206,227,274,176,354,617,0,757,"1,090","3,154",0,0,0
03 Baja California Sur,Mujeres,65-69 años,"5,054",410,156,170,193,135,269,443,0,535,659,"2,084",0,0,0
03 Baja California Sur,Mujeres,70-74 años,"3,532",289,121,124,166,98,194,307,0,381,366,"1,486",0,0,0
03 Baja California Sur,Mujeres,75-79 años,"2,315",160,77,81,79,57,128,215,0,226,242,"1,050",0,0,0
03 Baja California Sur,Mujeres,80-84 años,"1,521",160,67,61,47,43,71,127,0,155,126,664,0,0,0
03 Baja California Sur,Mujeres,85-89 años,912,84,34,51,30,20,46,87,0,84,76,400,0,0,0
03 Baja California Sur,Mujeres,90-94 años,390,33,15,12,16,13,14,26,0,35,28,198,0,0,0
03 Baja California Sur,Mujeres,95-99 años,141,13,5,5,5,2,10,11,0,7,18,65,0,0,0
03 Baja California Sur,Mujeres,100 años y más,31,6,1,1,2,1,3,3,0,3,5,6,0,0,0
03 Baja California Sur,Mujeres,No especificado,"4,655",228,114,113,84,23,111,318,0,397,"1,755","1,512",0,0,0
04 Campeche,Total,Total,"822,441","47,962","43,470","54,691","62,909","44,901","81,390","36,905","29,477","30,881",0,"389,855",0,0,0
04 Campeche,Total,00-04 años,"76,925","5,789","4,731","5,485","6,438","4,591","7,557","3,202","3,150","3,230",0,"32,752",0,0,0
04 Campeche,Total,05-09 años,"78,299","5,480","5,224","5,906","6,680","4,572","7,581","3,239","3,037","3,119",0,"33,461",0,0,0
04 Campeche,Total,10-14 años,"81,314","5,973","5,684","6,433","7,043","4,976","7,887","3,294","3,176","3,086",0,"33,762",0,0,0
04 Campeche,Total,15-19 años,"82,920","5,664","5,369","6,300","7,138","4,933","8,074","3,736","3,309","3,024",0,"35,373",0,0,0
04 Campeche,Total,20-24 años,"76,388","4,118","3,668","4,817","5,727","4,243","7,640","3,620","2,821","2,857",0,"36,877",0,0,0
04 Campeche,Total,25-29 años,"68,197","3,254","2,990","3,972","4,612","3,466","6,743","3,133","2,339","2,604",0,"35,084",0,0,0
04 Campeche,Total,30-34 años,"64,927","3,038","2,841","3,941","4,690","3,396","6,247","2,943","2,209","2,432",0,"33,190",0,0,0
04 Campeche,Total,35-39 años,"61,896","2,878","2,700","3,697","4,159","3,083","5,857","2,606","2,046","2,317",0,"32,553",0,0,0
04 Campeche,Total,40-44 años,"50,522","2,362","2,074","3,024","3,435","2,377","4,913","2,089","1,674","1,810",0,"26,764",0,0,0
04 Campeche,Total,45-49 años,"42,811","2,174","1,912","2,593","2,791","2,090","4,158","1,853","1,412","1,547",0,"22,281",0,0,0
04 Campeche,Total,50-54 años,"35,658","1,641","1,560","1,973","2,349","1,757","3,585","1,702","1,215","1,316",0,"18,560",0,0,0
04 Campeche,Total,55-59 años,"28,316","1,343","1,321","1,728","2,088","1,520","3,043","1,367",893,"1,046",0,"13,967",0,0,0
04 Campeche,Total,60-64 años,"21,379","1,227",994,"1,296","1,587","1,062","2,291","1,068",700,764,0,"10,390",0,0,0
04 Campeche,Total,65-69 años,"15,079",902,796,"1,100","1,254",831,"1,752",800,464,499,0,"6,681",0,0,0
04 Campeche,Total,70-74 años,"12,890",832,676,"1,034","1,154",743,"1,545",842,414,435,0,"5,215",0,0,0
04 Campeche,Total,75-79 años,"8,320",430,406,597,697,467,978,500,224,299,0,"3,722",0,0,0
04 Campeche,Total,80-84 años,"5,254",228,226,358,436,292,655,361,129,172,0,"2,397",0,0,0
04 Campeche,Total,85-89 años,"3,209",130,140,218,270,186,423,228,89,107,0,"1,418",0,0,0
04 Campeche,Total,90-94 años,"1,127",41,58,80,92,56,132,97,34,34,0,503,0,0,0
04 Campeche,Total,95-99 años,479,20,21,46,42,27,54,41,18,17,0,193,0,0,0
04 Campeche,Total,100 años y más,142,14,11,15,14,9,19,3,6,7,0,44,0,0,0
04 Campeche,Total,No especificado,"6,389",424,68,78,213,224,256,181,118,159,0,"4,668",0,0,0
04 Campeche,Hombres,Total,"407,721","25,186","22,270","28,143","31,694","22,686","40,688","18,014","14,306","15,216",0,"189,518",0,0,0
04 Campeche,Hombres,00-04 años,"39,317","2,923","2,452","2,789","3,334","2,362","3,870","1,579","1,545","1,637",0,"16,826",0,0,0
04 Campeche,Hombres,05-09 años,"39,758","2,807","2,688","2,981","3,445","2,350","3,857","1,659","1,555","1,563",0,"16,853",0,0,0
04 Campeche,Hombres,10-14 años,"41,146","3,087","2,878","3,251","3,560","2,549","4,029","1,646","1,602","1,558",0,"16,986",0,0,0
04 Campeche,Hombres,15-19 años,"41,693","2,952","2,735","3,186","3,555","2,462","4,108","1,868","1,707","1,503",0,"17,617",0,0,0
04 Campeche,Hombres,20-24 años,"37,219","2,074","1,771","2,417","2,790","2,118","3,816","1,761","1,280","1,400",0,"17,792",0,0,0
04 Campeche,Hombres,25-29 años,"32,562","1,584","1,417","1,967","2,154","1,665","3,250","1,537","1,051","1,174",0,"16,763",0,0,0
04 Campeche,Hombres,30-34 años,"30,991","1,533","1,380","1,997","2,274","1,656","2,943","1,389",984,"1,147",0,"15,688",0,0,0
04 Campeche,Hombres,35-39 años,"30,049","1,536","1,397","1,892","2,010","1,556","2,844","1,265",962,"1,106",0,"15,481",0,0,0
04 Campeche,Hombres,40-44 años,"24,853","1,227","1,075","1,645","1,750","1,140","2,394","1,001",796,908,0,"12,917",0,0,0
04 Campeche,Hombres,45-49 años,"21,000","1,165",954,"1,377","1,380","1,034","2,074",864,651,775,0,"10,726",0,0,0
04 Campeche,Hombres,50-54 años,"17,658",923,822,"1,010","1,201",871,"1,830",798,579,646,0,"8,978",0,0,0
04 Campeche,Hombres,55-59 años,"14,154",767,714,913,"1,091",784,"1,516",651,439,512,0,"6,767",0,0,0
04 Campeche,Hombres,60-64 años,"10,611",716,570,698,840,574,"1,127",505,353,386,0,"4,842",0,0,0
04 Campeche,Hombres,65-69 años,"7,595",575,471,624,674,454,878,391,238,266,0,"3,024",0,0,0
04 Campeche,Hombres,70-74 años,"6,468",517,388,588,631,414,791,383,235,212,0,"2,309",0,0,0
04 Campeche,Hombres,75-79 años,"4,276",296,242,363,397,258,529,254,124,156,0,"1,657",0,0,0
04 Campeche,Hombres,80-84 años,"2,687",151,142,195,264,173,355,195,66,103,0,"1,043",0,0,0
04 Campeche,Hombres,85-89 años,"1,620",92,85,129,152,96,237,107,39,57,0,626,0,0,0
04 Campeche,Hombres,90-94 años,573,26,31,48,60,37,82,53,25,20,0,191,0,0,0
04 Campeche,Hombres,95-99 años,223,14,13,27,21,16,21,17,12,7,0,75,0,0,0
04 Campeche,Hombres,100 años y más,75,12,9,6,9,3,9,1,4,4,0,18,0,0,0
04 Campeche,Hombres,No especificado,"3,193",209,36,40,102,114,128,90,59,76,0,"2,339",0,0,0
04 Campeche,Mujeres,Total,"414,720","22,776","21,200","26,548","31,215","22,215","40,702","18,891","15,171","15,665",0,"200,337",0,0,0
04 Campeche,Mujeres,00-04 años,"37,608","2,866","2,279","2,696","3,104","2,229","3,687","1,623","1,605","1,593",0,"15,926",0,0,0
04 Campeche,Mujeres,05-09 años,"38,541","2,673","2,536","2,925","3,235","2,222","3,724","1,580","1,482","1,556",0,"16,608",0,0,0
04 Campeche,Mujeres,10-14 años,"40,168","2,886","2,806","3,182","3,483","2,427","3,858","1,648","1,574","1,528",0,"16,776",0,0,0
04 Campeche,Mujeres,15-19 años,"41,227","2,712","2,634","3,114","3,583","2,471","3,966","1,868","1,602","1,521",0,"17,756",0,0,0
04 Campeche,Mujeres,20-24 años,"39,169","2,044","1,897","2,400","2,937","2,125","3,824","1,859","1,541","1,457",0,"19,085",0,0,0
04 Campeche,Mujeres,25-29 años,"35,635","1,670","1,573","2,005","2,458","1,801","3,493","1,596","1,288","1,430",0,"18,321",0,0,0
04 Campeche,Mujeres,30-34 años,"33,936","1,505","1,461","1,944","2,416","1,740","3,304","1,554","1,225","1,285",0,"17,502",0,0,0
04 Campeche,Mujeres,35-39 años,"31,847","1,342","1,303","1,805","2,149","1,527","3,013","1,341","1,084","1,211",0,"17,072",0,0,0
04 Campeche,Mujeres,40-44 años,"25,669","1,135",999,"1,379","1,685","1,237","2,519","1,088",878,902,0,"13,847",0,0,0
